comments,created,expected,id,input,metadata,root_span_id,tags
,2026-04-15T10:00:00.000Z,,ea9d135b-8ad8-419c-9ca2-02b31e6d943f,"""AI-native DevSecOps tools""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",ea9d135b-8ad8-419c-9ca2-02b31e6d943f,
,2026-04-15T10:00:00.000Z,,ad7a01c1-3bc9-43aa-9e93-18d85e478313,"""PLG-first B2B SaaS companies with >$50M ARR""","{""query_type"": ""segment_specific"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",ad7a01c1-3bc9-43aa-9e93-18d85e478313,
,2026-04-15T10:00:00.000Z,,7c94e110-24cc-42c5-a2fd-5c00b74e60d6,"""deep tech climate companies pre-Series B""","{""query_type"": ""segment_specific"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",7c94e110-24cc-42c5-a2fd-5c00b74e60d6,
,2026-04-15T10:00:00.000Z,,126db43a-5818-49cd-bcfd-913d928eba8d,"""B2B2C fintech with embedded finance plays""","{""query_type"": ""segment_specific"", ""domain"": ""financial"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",126db43a-5818-49cd-bcfd-913d928eba8d,
,2026-04-15T10:00:00.000Z,,d1b9495e-79a5-4ad6-b210-d9b8b709b88c,"""vertical SaaS for SMBs in healthcare""","{""query_type"": ""segment_specific"", ""domain"": ""healthcare"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",d1b9495e-79a5-4ad6-b210-d9b8b709b88c,
,2026-04-15T10:00:00.000Z,,7963be72-5319-45df-b66c-ea65a3ca23c7,"""bootstrapped developer tools with high NRR""","{""query_type"": ""segment_specific"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",7963be72-5319-45df-b66c-ea65a3ca23c7,
,2026-04-15T10:00:00.000Z,,d392932f-cb56-4388-8f87-710771b0f683,"""API-first infrastructure companies""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",d392932f-cb56-4388-8f87-710771b0f683,
,2026-04-15T10:00:00.000Z,,532df02d-f72e-4120-802b-bdb095a1796a,"""composable CDP vendors""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",532df02d-f72e-4120-802b-bdb095a1796a,
,2026-04-15T10:00:00.000Z,,0b66be3e-345b-4c7d-bef2-935531d10ea3,"""AI-native sales intelligence platforms""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",0b66be3e-345b-4c7d-bef2-935531d10ea3,
,2026-04-15T10:00:00.000Z,,59c2942d-2648-49ae-921c-142b1227c6ea,"""headless commerce platforms""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",59c2942d-2648-49ae-921c-142b1227c6ea,
,2026-04-15T10:00:00.000Z,,bb18eb48-9052-4575-9f30-7d0da9e49482,"""multi-tenant SaaS with usage-based pricing""","{""query_type"": ""segment_specific"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",bb18eb48-9052-4575-9f30-7d0da9e49482,
,2026-04-15T10:00:00.000Z,,9a280fc8-3c0a-471e-9433-62dce82b793e,"""zero-trust security vendors""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",9a280fc8-3c0a-471e-9433-62dce82b793e,
,2026-04-15T10:00:00.000Z,,dbb110f4-a18f-4042-bce5-8865ecdf4cd5,"""bottom-up GTM SaaS companies""","{""query_type"": ""segment_specific"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",dbb110f4-a18f-4042-bce5-8865ecdf4cd5,
,2026-04-15T10:00:00.000Z,,44168de4-777d-4f44-9361-2c7299878f92,"""modern data stack tooling""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",44168de4-777d-4f44-9361-2c7299878f92,
,2026-04-15T10:00:00.000Z,,cabdb530-c0d2-43ac-82c4-ce87d457d421,"""AI copilot tools for knowledge workers""","{""query_type"": ""segment_specific"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",cabdb530-c0d2-43ac-82c4-ce87d457d421,
,2026-04-15T10:00:00.000Z,,436a44c7-2e99-4ca7-bf9b-f097bd82eff7,"""embedded analytics platforms""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",436a44c7-2e99-4ca7-bf9b-f097bd82eff7,
,2026-04-15T10:00:00.000Z,,fce639a8-9069-4506-b136-7967f966b939,"""revenue intelligence software""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",fce639a8-9069-4506-b136-7967f966b939,
,2026-04-15T10:00:00.000Z,,c7e301b0-c984-49fd-af86-2c19751cd159,"""cloud-native observability platforms""","{""query_type"": ""direct_category"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",c7e301b0-c984-49fd-af86-2c19751cd159,
,2026-04-15T10:00:00.000Z,,22992e38-7138-4c60-a72e-e34b80d32b40,"""low-code automation for revenue operations""","{""query_type"": ""segment_specific"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",22992e38-7138-4c60-a72e-e34b80d32b40,
,2026-04-15T10:00:00.000Z,,5709de0c-a505-4d31-8941-438f5541e148,"""product-led growth companies in developer tools""","{""query_type"": ""segment_specific"", ""domain"": ""tech_saas"", ""style"": ""jargon_heavy"", ""temporal"": ""current"", ""edge_case"": false}",5709de0c-a505-4d31-8941-438f5541e148,
